filename,total_count,harmful_true,harmful_false,second judge_true_harmful_true,second judge_true_harmful_false,second judge_false_harmful_true,second judge_false_harmful_false,total_harmful_ASR,second judge_true_ASR,second judge_false_ASR
analysis_results.json,0,0,0,0,0,0,0,0.0,0.0,0.0
jailbroken_renellm_mix_prompt_data_our_work.json,249,187,62,158,59,29,3,0.24899598393574296,0.271889400921659,0.09375
multiLang_renellm_mix_prompt_data_merged_our_work.json,135,105,30,54,13,51,17,0.2222222222222222,0.19402985074626866,0.25
new_flip_renellm_adv100-200_our_work.json,100,74,26,29,23,45,3,0.26,0.4423076923076923,0.0625
TOTAL,484,-,118,-,95,-,23,0.2438,0.2827,0.1554
